metin,kategori,label,intent,intent_label,oncelik,oncelik_label,stil,kaynak
Kartal istasyonunda 1. peron aydınlatması tamamen söndü.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
Mecidiyeköy istasyonunda ana dağıtım panosunda sigorta atması meydana geldi.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
Sanayi Mahallesi istasyonunda acil aydınlatma üniteleri test sırasında yanmadı.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
Kirazlı istasyonunda bilet holü aydınlatması titriyor ve sönük.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
Yenikapı istasyonunda üçüncü ray voltaj düşüşü alarmı oluştu.,sinyalizasyon_haberlesme,3,fault_report,0,P3,2,standart,relabel:ollama
Atatürk Havalimanı istasyonunda UPS baterileri yedek enerji vermiyor.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:ollama
Gayrettepe istasyonunda jeneratör test çalışması başaramadı alarm aktif.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
Kağıthane istasyonunda katener hattında iskıla oluşumu tespit edildi.,elektrik_enerji,1,fault_report,0,P1,0,standart,relabel:ollama
Levent istasyonunda peron üstü aydınlatma armatürleri yanmıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
4. Levent istasyonunda trafo yanmış kokusu geliyor acil müdahale.,elektrik_enerji,1,fault_report,0,P1,0,standart,relabel:ollama
Seyrantepe istasyonunda güney çıkış aydınlatması kesik kesik yanıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
Göztepe istasyonunda elektrik panosu üzerindeki kontaktör sürekli atıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
Kozyatağı istasyonunda UPS cihazı hata lambası yanıyor sesli alarm.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
Bostancı istasyonunda 2. peron aydınlatma şalteri işlevsiz ışık açılmıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:ollama
